Fecha,Nombre de la cartera,Tipo de campaña,Nombre de campaña,País,Estado,Divisa,Presupuesto,Tipo de orientación,Estrategia de pujas,Impresiones,Impresiones del año pasado,Clics,Clics del año pasado,Porcentaje de clics (CTR),Gasto,Gasto del año pasado,Coste por clic (CPC),Coste por clic (CPC) del año pasado,Pedidos totales de 7 días (#),"Coste publicitario de las ventas (ACOS) total ",Retorno de la inversión publicitaria (ROAS) total,Ventas totales de 7 días (€)
"Jun 24, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1824,,27,,1.48%,€4.95,,€0.1833333,€0.0,1,23.959%,4.17,€20.66
"Jun 25, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,2041,,24,,1.176%,€5.39,,€0.2245833,€0.0,1,26.089000000000002%,3.83,€20.66
"Jun 26, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,1284,,20,,1.558%,€4.63,,€0.23149999999999998,€0.0,2,9.036%,11.07,€51.24
"Jun 27, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,7029,,86,,1.224%,€20.09,,€0.2336047,€0.0,3,37.397999999999996%,2.67,€53.72
"Jun 27, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,19,,0,,0.0%,€0.0,,€0.0,€0.0,0,0.0%,0.0,€0.0
"Jun 28, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,5272,,82,,1.555%,€18.29,,€0.22304880000000002,€0.0,4,26.035999999999998%,3.84,€70.25
"Jun 28, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,155,,4,,2.581%,€0.53,,€0.1325,€0.0,0,0.0%,0.0,€0.0
"Jun 29, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,5241,,82,,1.5650000000000002%,€18.18,,€0.2217073,€0.0,7,12.789%,7.82,€142.15
"Jun 29, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,336,,12,,3.5709999999999997%,€1.45,,€0.1208333,€0.0,0,0.0%,0.0,€0.0
"Jun 30, 2025",No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,€5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,46,,2,,4.348%,€0.16,,€0.08,€0.0,0,0.0%,0.0,€0.0
"Jun 30, 2025",No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,€20.0,Segmentación automática,ruleBased,9561,,94,,0.983%,€17.26,,€0.183617,€0.0,8,10.088999999999999%,9.91,€171.07
