"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2025-03-28T11:07:53+00:00","6867590372",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","-8.37","-8.37","-1","1","0","6865689192","CustomerReturn"
"2025-03-28T09:44:01+00:00","6867428952",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco","NewItem","EUR","-14.26","-14.26","-1","1","0","6087275042","CustomerReturn"
"2025-03-28T09:16:12+00:00","6866988302",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Tennis- und Padelballdrucker | Weiß","NewItem","EUR","-5.23","-5.23","-1","1","0","6372766402","CustomerReturn"
"2025-03-27T23:53:35+00:00","6865689192",,"408-4129490-6060308","CustomerReturn","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","8.37","8.37","1","0","1",,
"2025-03-27T10:10:19+00:00","6864495152",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","-8.37","-8.37","-1","1","0","6716861132","CustomerReturn"
"2025-03-27T09:45:52+00:00","6864417752",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc","NewItem","EUR","-9.20","-9.20","-1","1","0","6048480952","CustomerReturn"
"2025-03-27T08:37:12+00:00","6864160772",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc","NewItem","EUR","-9.20","-9.20","-1","1","0","6047999012","CustomerReturn"
"2025-03-25T09:46:26+00:00","6858941772",,,"Reimbursement_Reversal","IB-IKLG-TV8H","X000GERVU5","B0183RZ2VI","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja","NewItem","EUR","-11.56","-11.56","-1","1","0","5427029892","CustomerReturn"
"2025-03-24T10:03:42+00:00","6856364932",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","-10.22","-10.22","-1","1","0","5662344202","CustomerReturn"
"2025-03-24T09:07:14+00:00","6856251222",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco","NewItem","EUR","-14.26","-14.26","-1","1","0","5677027662","CustomerReturn"
"2025-03-16T19:04:14+00:00","6835471092",,"404-0219501-7180306","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TuboPlus - TUBOX3 BLUE 2020 Bouteille de tennis et bouteille de pressuriseur à palette - Économisez des balles par un tube !! - Plus de vie pour vos balles - Fabriqué à Zaragoza - Espagne","NewItem","EUR","8.87","8.87","1","0","1",,
"2025-03-13T16:16:52+00:00","6827301822",,"406-7957011-3012344","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","NewItem","EUR","20.85","20.85","1","0","1",,
"2025-03-07T11:58:21+00:00","6810239482",,,"Reimbursement_Reversal","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","NewItem","EUR","-9.39","-9.39","-1","1","0","6698261792","CustomerReturn"
"2025-03-05T12:55:50+00:00","6804513412",,,"Reimbursement_Reversal","JW-4PNV-18BT","X001ZWRDZP","B0CZMGFD3S","TUBOPLUS 29PSI X3e (Incluye Bomba de Aire)","NewItem","EUR","-26.30","-26.30","-1",,"-1","6675092142","CustomerReturn"
"2025-02-26T09:41:35+00:00","6783614212",,,"Reimbursement_Reversal","84-F0A5-X7S1","X001T0EPOZ","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","-26.87","-26.87","-1","1","0","5419645472","CustomerReturn"
"2025-02-20T12:27:26+00:00","6767051532",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","-22.31","-22.31","-1","1","0","6764425512","CustomerReturn"
"2025-02-19T20:03:33+00:00","6764425512",,"402-5416094-9421906","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","22.31","22.31","1","0","1",,
"2025-02-19T18:33:54+00:00","6763990162",,"171-0972026-5930715","CustomerReturn","35-DQ86-IJB4","X001D1A0DZ","B09266N893","TuboPlus - TuboX3 Crystal + Bomba con Manometro BETO - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","18.11","18.11","1","0","1",,
"2025-02-18T07:15:42+00:00","6759111902",,,"Lost_Warehouse","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","NewItem","EUR","9.54","9.54","1","0","1",,
