"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-03-15T02:28:51+00:00","402-3155038-4736357","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS UG-965T-RORR - TuboX4 Crystal+ Pomp met Manometer BETO - Pressurizer voor tennis en paddleballen,Neutral","1","BTS2","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNWE299292783",
"2025-03-14T10:12:24+00:00","028-0970233-5550719","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","1","LCJ4","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNHK361746536","funktioniert nicht"
"2025-03-13T06:18:14+00:00","403-8506692-8449904","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","FOUND_BETTER_PRICE","Unit returned to inventory","LPNRP040756626","Es muy grande"
"2025-03-12T21:10:34+00:00","406-3379029-8042723","MD-R60M-OYR1","B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","1","WRO1","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNWE294850579","No funciona"
"2025-03-12T15:00:57+00:00","406-8260172-6579513","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNIC001572579","Compre otro regalo de cumpleaños"
"2025-03-12T06:44:10+00:00","403-5862748-6121162","MK-78DJ-J0C2","B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","1","WRO1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE294860713","Pensaba que traía bomba y manómetro (Creo que lo ponga al memos)"
"2025-03-11T20:48:30+00:00","406-6252843-1949913","TUBOX3-WHI","B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","1","MAD4","SELLABLE","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNWE287734435","Entregado día 18 cuando se esperaba el 15"
"2025-03-11T11:43:59+00:00","306-9703822-0765127","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","1","BTS2","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNRP036179711",
"2025-03-11T11:05:21+00:00","405-8973024-7776305","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE287956051",
"2025-03-11T08:03:08+00:00","402-3845880-7820335","4R-VSV0-WZ9Z","B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Dorado","1","MAD4","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNRP034788579",
"2025-03-11T07:19:23+00:00","406-2490349-1111542","MD-R60M-OYR1","B0786KK4TG","X002326XGB","TuboX3 Color | TuboPlus - Presurizador de Pelotas de Tenis y Padel | Color Azul","1","MAD4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP041077575","No funciona bien, he comprado otro.modelo"
"2025-03-07T20:09:40+00:00","171-3383254-3761914","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE278454733",
"2025-03-07T07:08:48+00:00","404-8778239-2973956","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP039439965","aucun air ne rentre à l’intérieur"
"2025-03-06T15:04:16+00:00","403-4770246-3949111","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNIC001616685","Al no traer hinchador, no lo podemos usar"
