approval_date,reimbursement_id,case_id,order_id,reason,sku,fnsku,asin,product_name,condition,currency_unit,amount_per_unit,amount_total,quantity_reimbursed_cash,quantity_reimbursed_inventory,quantity_reimbursed_total,original_reimbursement_id,original_reimbursement_type,approval_date_only,approval_month,approval_timezone,approval_hour,approval_weekday
2025-07-17 20:07:54+00:00,7177217442,No case ID,403-1481159-8922730,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Bleu,NewItem,EUR,11.15,11.15,1,0,1,No original ID,Unknown,2025-07-17,2025-07,UTC,20,Thursday
2025-07-11 07:02:13+00:00,7157121502,No case ID,406-5304369-9769900,CustomerReturn,MD-R60M-OYR1,X002326XGB,B0786KK4TG,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,NewItem,EUR,8.37,8.37,1,0,1,No original ID,Unknown,2025-07-11,2025-07,UTC,7,Friday
2025-07-09 17:40:03+00:00,7153083252,No case ID,No order ID,Lost_Warehouse,MD-R60M-OYR1,X002326XGB,B0786KK4TG,"TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas",NewItem,EUR,7.78,7.78,1,0,1,No original ID,Unknown,2025-07-09,2025-07,UTC,17,Wednesday
2025-07-06 10:36:22+00:00,7143079222,No case ID,402-5963325-2618705,CustomerReturn,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco,NewItem,EUR,10.74,10.74,1,0,1,No original ID,Unknown,2025-07-06,2025-07,UTC,10,Sunday
2025-07-05 05:01:55+00:00,7139431162,No case ID,No order ID,Lost_Warehouse,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,8.62,8.62,1,0,1,No original ID,Unknown,2025-07-05,2025-07,UTC,5,Saturday
2025-06-28 12:29:56+00:00,7119625392,No case ID,No order ID,Reimbursement_Reversal,UG-965T-RORR,X0013ZBBK7,B07ZTHSVCK,PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.,NewItem,EUR,-21.64,-21.64,-1,1,0,6922342482.0,CustomerReturn,2025-06-28,2025-06,UTC,12,Saturday
2025-06-27 03:59:32+00:00,7116133062,No case ID,404-9112045-9994751,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.34,11.34,1,0,1,No original ID,Unknown,2025-06-27,2025-06,UTC,3,Friday
2025-06-25 21:32:08+00:00,7112470892,No case ID,402-4534389-5023529,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,NewItem,EUR,11.34,11.34,1,0,1,No original ID,Unknown,2025-06-25,2025-06,UTC,21,Wednesday
2025-06-24 21:19:30+00:00,7109045452,No case ID,303-4987982-0083556,CustomerReturn,TUBOX4-CRY-SB,X001PQP7KJ,B0BTDS4GYS,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,NewItem,EUR,17.53,17.53,1,0,1,No original ID,Unknown,2025-06-24,2025-06,UTC,21,Tuesday
2025-06-15 16:14:13+00:00,7081862452,No case ID,No order ID,Lost_Warehouse,TUBOX3-WHI,X001PQP7JP,B0BTDTVCG2,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,NewItem,EUR,7.31,7.31,1,0,1,No original ID,Unknown,2025-06-15,2025-06,UTC,16,Sunday
