fecha,nombre_de_la_cartera,divisa,nombre_de_campana,nombre_del_grupo_de_anuncios,segmentacion,tipo_de_coincidencia,termino_de_busqueda_de_cliente,impresiones,clics,porcentaje_de_clics_ctr,coste_por_clic_cpc,gasto,ventas_totales_de_7_dias,coste_publicitario_de_las_ventas_acos_total,retorno_de_la_inversion_publicitaria_roas_total,pedidos_totales_de_7_dias_#,unidades_totales_de_7_dias_#,tasa_de_conversion_de_7_dias,unidades_sku_anunciadas_7_dias_#,otras_unidades_sku_de_7_dias_#,ventas_sku_anunciadas_7_dias,otras_ventas_sku_de_7_dias
2025-06-30,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador bolas padel,27,1,0.037037037037037035,0.07,0.07,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-02,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador bolas tenis,9,1,0.1111111111111111,0.35,0.35,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-30,No Portfolio,EUR,PSI3_Auto_SP,PSI29_SP_Auto,substitutes,-,presurizador bullpadel,2,1,0.5,0.09,0.09,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-20,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador bullpadel pascal box 3b,10,1,0.1,0.04,0.04,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-29,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,close-match,-,presurizador con bomba padel,4,1,0.25,0.07,0.07,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-25,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador con bomba pelotas padel,1,1,1.0,0.41,0.41,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-30,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador de bolas de padel,1,1,1.0,0.05,0.05,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-27,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador de cristal pelotas padel,1,1,1.0,0.16,0.16,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-04,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador de pelotas,1,1,1.0,0.19,0.19,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-28,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador de pelotas de padel,6,1,0.16666666666666663,0.12,0.12,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-02,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,close-match,-,presurizador de pelotas de padel,17,1,0.0588235294117647,0.64,0.64,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-04,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador de pelotas de padel,10,1,0.1,0.38,0.38,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-21,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador de pelotas de pádel - bullpadel pascal box,1,1,1.0,0.15,0.15,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-21,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador de pelotas de pádel - bullpadel pascal box,2,1,0.5,0.23,0.23,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-02,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,close-match,-,presurizador de pelotas de tenis,6,1,0.16666666666666663,0.15,0.15,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-05,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,substitutes,-,presurizador de pelotas de tenis,11,1,0.09090909090909093,0.07,0.07,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-02,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,loose-match,-,presurizador head,5,1,0.2,0.06,0.06,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-01,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,6,1,0.16666666666666663,0.18,0.18,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-04,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,7,2,0.2857142857142857,0.09,0.18,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-05,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,4,1,0.25,0.04,0.04,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-17,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,6,1,0.16666666666666663,0.04,0.04,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-19,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,1,1,1.0,0.25,0.25,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-20,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,loose-match,-,presurizador padel,4,2,0.5,0.05,0.1,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-24,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,3,1,0.3333333333333333,0.04,0.04,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-29,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Tennis Balls,close-match,-,presurizador padel,5,1,0.2,0.03,0.03,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-01,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,substitutes,-,presurizador padel,60,3,0.05,0.2333333333333333,0.7,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
2025-06-03,No Portfolio,EUR,SP Entire Catalog 13-jan-2025 31f106,TUBOPLUS - Padel Accessories,close-match,-,presurizador padel,68,1,0.014705882352941175,0.09,0.09,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
