Fecha,Ventas de productos encargados,Ventas de productos encargados: B2B,Unidades encargadas,Unidades encargadas - B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B,Promedio de ventas por artículo,Promedio de ventas por pedido: B2B,Promedio de unidades por pedido,Promedio de unidades por pedido: B2B,Precio de venta medio,Precio de venta medio - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Porcentaje de productos pedidos por sesión,Porcentaje de artículos de un pedido encargados por sesión: B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Promedio de ofertas,Promedio de productos parent,Unidades reembolsadas,Ratio de reembolsos,Valoraciones recibidas,Valoraciones negativas recibidas,Ratio de valoraciones negativas recibidas,Reclamaciones bajo la Garantía de la A a la Z concedidas,Importe de las reclamaciones,Ventas de productos enviados,Unidades enviadas,Pedidos enviados
24/2/25,"452,30 €","0,00 €",18,0,17,0,"26,61 €","0,00 €",1.06,0.00,"25,13 €","0,00 €",315,4,165,2,480,6,209,3,130,2,339,5,88.62%,50.00%,5.01%,0.00%,5.31%,0.00%,11,9,0,0.00%,0,0,0.00%,0,"0,00 €","470,98 €",18,18
25/2/25,"511,96 €","39,99 €",20,1,19,1,"26,95 €","39,99 €",1.05,1.00,"25,60 €","39,99 €",339,16,112,4,451,20,219,11,89,4,308,15,88.48%,80.00%,6.17%,6.67%,6.49%,6.67%,12,9,1,5.00%,0,0,0.00%,0,"0,00 €","327,27 €",17,17
26/2/25,"403,95 €","39,99 €",14,1,14,1,"28,85 €","39,99 €",1.00,1.00,"28,85 €","39,99 €",269,8,121,5,390,13,180,5,82,3,262,8,84.64%,60.00%,5.34%,12.50%,5.34%,12.50%,12,9,0,0.00%,0,0,0.00%,0,"0,00 €","368,56 €",17,17
27/2/25,"412,64 €","0,00 €",13,0,13,0,"31,74 €","0,00 €",1.00,0.00,"31,74 €","0,00 €",295,2,94,8,389,10,194,1,76,6,270,7,92.15%,100.00%,4.81%,0.00%,4.81%,0.00%,12,9,1,7.69%,0,0,0.00%,0,"0,00 €","495,78 €",20,19
28/2/25,"252,32 €","0,00 €",10,0,10,0,"25,23 €","0,00 €",1.00,0.00,"25,23 €","0,00 €",216,2,115,4,331,6,145,2,80,4,225,6,91.07%,100.00%,4.44%,0.00%,4.44%,0.00%,12,9,1,10.00%,0,0,0.00%,0,"0,00 €","289,23 €",13,13
1/3/25,"341,96 €","22,00 €",12,1,12,1,"28,50 €","22,00 €",1.00,1.00,"28,50 €","22,00 €",332,2,91,2,423,4,212,1,65,1,277,2,93.00%,100.00%,4.33%,50.00%,4.33%,50.00%,12,9,0,0.00%,0,0,0.00%,0,"0,00 €","168,57 €",7,7
2/3/25,"366,05 €","0,00 €",13,0,13,0,"28,16 €","0,00 €",1.00,0.00,"28,16 €","0,00 €",360,8,136,9,496,17,255,6,96,4,351,10,90.28%,71.43%,3.70%,0.00%,3.70%,0.00%,11,9,0,0.00%,0,0,0.00%,0,"0,00 €","222,46 €",10,10
3/3/25,"558,06 €","0,00 €",21,0,20,0,"27,90 €","0,00 €",1.05,0.00,"26,57 €","0,00 €",339,6,139,6,478,12,228,2,111,6,339,8,89.90%,100.00%,5.90%,0.00%,6.19%,0.00%,11,9,0,0.00%,0,0,0.00%,0,"0,00 €","629,66 €",26,26
4/3/25,"450,63 €","39,99 €",14,1,14,1,"32,19 €","39,99 €",1.00,1.00,"32,19 €","39,99 €",299,19,198,6,497,25,194,8,108,6,302,14,80.00%,83.33%,4.64%,7.14%,4.64%,7.14%,10,8,0,0.00%,1,0,0.00%,0,"0,00 €","381,69 €",16,15
5/3/25,"291,28 €","0,00 €",11,0,11,0,"26,48 €","0,00 €",1.00,0.00,"26,48 €","0,00 €",249,18,102,4,351,22,168,7,85,3,253,10,94.84%,100.00%,4.35%,0.00%,4.35%,0.00%,10,8,1,9.09%,1,0,0.00%,0,"0,00 €","236,11 €",10,10
