"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07ZTHSVCK","X001T0EPOZ","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-02","3.7","weeks","27.54","0.0","0.39","9.0E-4","0.0597","0.0","EUR","0.0597","Others","N","N","0.0","--","0.0"
"B09266N893","X001WPKTQF","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","MXP5","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-02","3.7","weeks","27.54","0.0","1.0","0.0016","0.0435","0.0","EUR","0.0435","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (non include la pompa dell'aria)","MXP5","IT","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0528","0.0","EUR","0.0528","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore oro","MXP5","IT","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.21","3.0E-4","0.0382","0.0","EUR","0.0382","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TuboPlus- TUBOX3 BLU 2020 Pallina da tennis e paddle Pressurizer Bottle - Salva le palle da un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","MXP5","IT","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0389","0.0","EUR","0.0389","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X00273BAK5","TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco","MXP5","IT","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.64","0.39","3.0E-4","2025-02","3.7","weeks","27.54","0.0","0.25","3.0E-4","0.0093","0.0","EUR","0.0093","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas – Made in Zaragoza-Spain –","BCN1","ES","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","3.32","0.0","0.0051","2025-02","3.7","weeks","27.54","0.0","0.18","3.0E-4","0.1398","0.0","EUR","0.1398","Others","N","N","0.0","--","0.18"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","BCN1","ES","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.04","0.0","1.0E-4","2025-02","3.7","weeks","27.54","0.0","0.04","1.0E-4","0.0021","0.0","EUR","0.0021","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Color Presurizador de Pelotas de Tenis y Padel | Color Blanco","BCN1","ES","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.82","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.07","1.0E-4","0.0386","0.0","EUR","0.0386","Others","N","N","0.0","--","0.79"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","BCN1","ES","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","6.18","0.0","0.0134","2025-02","3.7","weeks","27.54","0.0","2.07","0.0046","0.3691","0.0","EUR","0.3691","Others","N","N","0.0","--","0.07"
