"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'WRO2'","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2025-05","9.1","weeks","27.54","0.0","0.03","1.0E-4","0.0019","0.0","EUR","0.0019","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'WRO2'","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.77","0.0","0.0017","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.0461","0.0","EUR","0.0461","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'WRO2'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2025-05","9.1","weeks","27.54","0.0","0.03","1.0E-4","0.0021","0.0","EUR","0.0021","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'WRO2'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","1.94","0.0","0.0047","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.1275","0.0","EUR","0.1275","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","'WRO2'","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.94","0.0","0.0037","2025-05","9.1","weeks","27.54","0.0","0.06","1.0E-4","0.1024","0.0","EUR","0.1024","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold","'WRO2'","DE","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.39","0.0","5.0E-4","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.0148","0.0","EUR","0.0148","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","'WRO2'","DE","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.71","0.0","0.0024","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.0651","0.0","EUR","0.0651","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Blanc","'ORY1'","FR","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","1.0","0.0014","0.04","0.0","EUR","0.04","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","'MXP5'","IT","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","1.39","0.39","0.0016","2025-05","9.1","weeks","27.54","0.0","1.0","0.0016","0.0445","0.0","EUR","0.0445","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","'MXP5'","IT","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","5.0","0.0","0.0081","2025-05","9.1","weeks","27.54","0.0","3.39","0.0055","0.2223","0.0","EUR","0.2223","Others","N","N","0.0","--","0.0"
