"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0786KK4TG","X002326XGB","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","'BCN4'","ES","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.1","0.0","0.0","2025-06","14.1","weeks","27.54","0.0","0.03","0.0","0.0013","0.0","EUR","0.0013","Others","N","N","0.0","--","0.07"
"B0F1F2PQPK","X0029D24LR","TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","'BCN4'","ES","23.7","8.8","8.8","centimeters","0.37","kilograms","0.0018","cubic meters","Standard-Size","1.17","0.0","0.0","2025-06","14.1","weeks","27.54","0.0","0.0","0.0","0.0","0.0","EUR","0.0","Others","N","N","0.05391459532665557","FBA_NEW_SELECTION:0.0539","0.1"
"B0F1F1D2PR","X0029D5M9D","TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","'BCN4'","ES","30.8","8.9","8.7","centimeters","0.3","kilograms","0.0024","cubic meters","Standard-Size","18.93","0.0","0.0317","2025-06","14.1","weeks","27.54","0.0","13.3","0.0317","0.873","0.0","EUR","0.873","Others","N","N","0.367800181061495","FBA_NEW_SELECTION:0.3678","0.03"
"B0F1F2KX6J","X0029D6HAL","TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","'BCN4'","ES","31.0","9.2","8.8","centimeters","0.44","kilograms","0.0025","cubic meters","Standard-Size","12.1","0.0","0.0303","2025-06","14.1","weeks","27.54","0.0","12.07","0.0303","0.8337","0.0","EUR","0.8337","Others","N","N","0.0","--","0.03"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","'MAD4'","ES","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2025-06","14.1","weeks","27.54","0.0","0.03","1.0E-4","0.0021","0.0","EUR","0.0021","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","'MAD4'","ES","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.07","0.0","1.0E-4","2025-06","14.1","weeks","27.54","0.0","0.07","1.0E-4","0.0026","0.0","EUR","0.0026","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","'MAD4'","ES","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.03","0.0","0.0","2025-06","14.1","weeks","27.54","0.0","0.03","0.0","0.0013","0.0","EUR","0.0013","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","'MAD4'","ES","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.4","0.0","0.001","2025-06","14.1","weeks","27.54","0.0","0.4","0.001","0.0279","0.0","EUR","0.0279","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","'MAD4'","ES","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2025-06","14.1","weeks","27.54","0.0","0.03","1.0E-4","0.0023","0.0","EUR","0.0023","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","'MAD4'","ES","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.07","0.0","2.0E-4","2025-06","14.1","weeks","27.54","0.0","0.07","2.0E-4","0.0046","0.0","EUR","0.0046","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado","'MAD4'","ES","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.73","0.0","0.001","2025-06","14.1","weeks","27.54","0.0","0.73","0.001","0.0297","0.0","EUR","0.0297","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado","'MAD4'","ES","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.23","0.0","3.0E-4","2025-06","14.1","weeks","27.54","0.0","0.07","1.0E-4","0.0094","0.0","EUR","0.0094","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Naranja","'MAD7'","ES","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","16.3","0.0","0.0263","2025-06","14.1","weeks","27.54","0.0","16.23","0.0263","0.7242","0.0","EUR","0.7242","Others","N","N","0.0","--","0.07"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","'MAD7'","ES","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","58.23","0.0","0.1262","2025-06","14.1","weeks","27.54","0.0","58.1","0.1262","3.4756","0.0","EUR","3.4756","Others","N","N","0.0","--","0.13"
"B0BTDTVCG2","X001PQP7JP","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","'MAD7'","ES","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","19.57","0.0","0.0264","2025-06","14.1","weeks","27.54","0.0","19.47","0.0264","0.7281","0.0","EUR","0.7281","Others","N","N","0.0","--","0.1"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","'MAD7'","ES","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.13","0.0","3.0E-4","2025-06","14.1","weeks","27.54","0.0","0.13","3.0E-4","0.0088","0.0","EUR","0.0088","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","'MAD7'","ES","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","41.43","0.0","0.0987","2025-06","14.1","weeks","27.54","0.0","1.5","0.0036","2.7188","0.0","EUR","2.7188","Others","N","N","0.0","--","0.37"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Rosa","'MAD7'","ES","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","11.33","0.0","0.0162","2025-06","14.1","weeks","27.54","0.0","2.6","0.0037","0.4457","0.0","EUR","0.4457","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","'MAD7'","ES","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-06","14.1","weeks","27.54","0.0","1.0","0.0022","0.06","0.0","EUR","0.06","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","'MAD7'","ES","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.1","1.0","2.0E-4","2025-06","14.1","weeks","27.54","0.0","0.1","2.0E-4","0.0053","0.0","EUR","0.0053","Others","N","N","0.0","--","0.33"
"B0D87X42RN","X00231GYQL","TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado","'MAD7'","ES","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","6.5","0.0","0.009","2025-06","14.1","weeks","27.54","0.0","0.27","4.0E-4","0.2475","0.0","EUR","0.2475","Others","N","N","0.0","--","0.07"
"B0786KK4TG","X002326XGB","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul","'MAD7'","ES","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","30.4","0.0","0.042","2025-06","14.1","weeks","27.54","0.0","0.13","2.0E-4","1.1561","0.0","EUR","1.1561","Others","N","N","0.0","--","0.2"
"B0F1F4FM85","X0029D0DRJ","TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","'MAD7'","ES","24.5","9.2","8.8","centimeters","0.24","kilograms","0.002","cubic meters","Standard-Size","35.0","0.0","0.0694","2025-06","14.1","weeks","27.54","0.0","35.0","0.0694","1.9119","0.0","EUR","1.9119","Others","N","N","0.0","--","0.0"
"B0F1F2PQPK","X0029D24LR","TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","'MAD7'","ES","23.7","8.8","8.8","centimeters","0.37","kilograms","0.0018","cubic meters","Standard-Size","53.0","0.0","0.0973","2025-06","14.1","weeks","27.54","0.0","53.0","0.0973","2.6789","0.0","EUR","2.6789","Others","N","N","0.0","--","0.0"
"B0F1F1D2PR","X0029D5M9D","TUBOPLUS 29PSI X4e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida)","'MAD7'","ES","30.8","8.9","8.7","centimeters","0.3","kilograms","0.0024","cubic meters","Standard-Size","44.0","0.0","0.1049","2025-06","14.1","weeks","27.54","0.0","44.0","0.1049","2.8899","0.0","EUR","2.8899","Others","N","N","0.0","--","0.0"
"B0F1F2KX6J","X0029D6HAL","TUBOPLUS 29PSI X4e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 4 Pelotas | Bote Hermético | Incluye Inflador con Manómetro","'MAD7'","ES","31.0","9.2","8.8","centimeters","0.44","kilograms","0.0025","cubic meters","Standard-Size","43.1","0.0","0.1082","2025-06","14.1","weeks","27.54","0.0","43.1","0.1082","2.979","0.0","EUR","2.979","Others","N","N","0.0","--","0.0"
