asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,category,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders,storage_utilization_ratio_num,storage_utilization_ratio_cat,volume_units_adapt,breakdown_incentive_fee_amount_clean,item_volume_m3,estimated_total_item_volume_m3,est_vol_for_sus_m3,base_rate_per_m3,utilization_surcharge_rate_per_m3,volume_units_standardized
B0BTDSDQC5,X001PQPPUB,Tubox3 (ohne Pumpe) – vervielfachen Sie das Leben Ihrer Bälle | Druckverstärker für Paddelbälle | Stellt den Druck Ihrer Bälle nach jedem Spiel wieder her | Behälter für 3 Bälle | Paddelzubehör,WRO2,DE,24.0,8.4,8.3,centimeters,0.37,kilograms,0.0017,cubic meters,Standard-Size,1.0,0.0,0.0017,2025-01-01,3.8,weeks,27.54,0.0,1.0,0.0017,0.0469,0.0,EUR,0.0469,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0017,0.0,0.0017,0.0017,0.0017,27.54,0.0,cubic meters
B07ZTHSVCK,X001T0EPOZ,"TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas",WRO2,DE,30.9,8.4,8.4,centimeters,0.81,kilograms,0.0022,cubic meters,Standard-Size,1.0,0.0,0.0022,2025-01-01,3.8,weeks,27.54,0.0,0.13,0.0003,0.0611,0.0,EUR,0.0611,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0022,0.0003,27.54,0.0,cubic meters
B0D265ZYB6,X0020C2PYD,"TUBOPLUS 29 PSI X4e (inkl. Luftpumpe, 2)",WRO2,DE,31.0,8.7,8.5,centimeters,0.46,kilograms,0.0023,cubic meters,Standard-Size,1.0,0.0,0.0023,2025-01-01,3.8,weeks,27.54,0.0,1.0,0.0023,0.0643,0.0,EUR,0.0643,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0023,0.0,0.0023,0.0023,0.0023,27.54,0.0,cubic meters
B0CZMGFD3S,X001ZWRDZP,TUBOPLUS 29PSI X3e (pompe à air incluse),ETZ2,FR,24.5,9.0,8.9,centimeters,0.39,kilograms,0.002,cubic meters,Standard-Size,1.0,0.0,0.002,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.0539,0.0,EUR,0.0539,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.002,0.0,0.002,0.002,0.0,27.54,0.0,cubic meters
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29PSI X3e (pompe à air non incluse),ETZ2,FR,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,23.52,0.0,0.045,2025-01-01,3.8,weeks,27.54,0.0,23.06,0.0445,1.2361,0.0,EUR,1.2361,Others,False,False,0.0,--,0.19,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.045,0.0445,27.54,0.0,cubic meters
B0BTDTN52N,X001PQRHT3,TUBOPLUS TuboX3 Couleur Pressurisateur de Balles de Tennis et Padel | Couleur Rose,ORY1,FR,20.0,8.5,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,0.19,0.0,0.0001,2025-01-01,3.8,weeks,27.54,0.0,0.1,0.0001,0.0039,0.0,EUR,0.0039,Others,False,False,0.0,--,0.1,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0001,0.0001,27.54,0.0,cubic meters
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29PSI X3e (pompe à air non incluse),ORY1,FR,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,4.03,0.0,0.0073,2025-01-01,3.8,weeks,27.54,0.0,2.03,0.0039,0.2061,0.0,EUR,0.2061,Others,False,False,0.0,--,0.23,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.0073,0.0039,27.54,0.0,cubic meters
B0CZMGFD3S,X001ZWRDZP,TUBOPLUS 29PSI X3e (include pompa d'aria),BGY1,IT,24.5,9.0,8.9,centimeters,0.39,kilograms,0.002,cubic meters,Standard-Size,0.26,0.0,0.0005,2025-01-01,3.8,weeks,27.54,0.0,0.13,0.0003,0.0141,0.0,EUR,0.0141,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.002,0.0,0.002,0.0005,0.0003,27.54,0.0,cubic meters
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29 PSI X3e (non include la pompa dell'aria),BGY1,IT,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,2.13,0.0,0.0038,2025-01-01,3.8,weeks,27.54,0.0,1.97,0.0038,0.1059,0.0,EUR,0.1059,Others,False,False,0.0,--,0.16,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.0038,0.0038,27.54,0.0,cubic meters
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29 PSI X3e (non include la pompa dell'aria),BLQ1,IT,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,1.0,0.0,0.0019,2025-01-01,3.8,weeks,27.54,0.0,0.97,0.0019,0.05,0.0,EUR,0.05,Others,False,False,0.0,--,0.03,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.0019,0.0019,27.54,0.0,cubic meters
B0183RZ2VI,X000GERVU5,TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -,MXP5,IT,20.19,8.5,8.5,centimeters,0.32,kilograms,0.0015,cubic meters,Standard-Size,1.71,0.0,0.0025,2025-01-01,3.8,weeks,27.54,0.0,1.0,0.0015,0.068,0.0,EUR,0.068,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0015,0.0,0.0015,0.0025,0.0015,27.54,0.0,cubic meters
B09266N893,X001D1A0DZ,"TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle",MXP5,IT,22.8,8.4,8.3,centimeters,0.53,kilograms,0.0016,cubic meters,Standard-Size,1.0,0.0,0.0016,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.0433,0.0,EUR,0.0433,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0016,0.0,0.0016,0.0016,0.0,27.54,0.0,cubic meters
B0BTDTN52N,X001PQRHT3,TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa,MXP5,IT,20.0,8.5,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,0.39,0.0,0.0006,2025-01-01,3.8,weeks,27.54,0.0,0.03,0.0,0.0151,0.0,EUR,0.0151,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0006,0.0,27.54,0.0,cubic meters
B07ZTHSVCK,X001T0EPOZ,PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.,MXP5,IT,30.9,8.4,8.4,centimeters,0.81,kilograms,0.0022,cubic meters,Standard-Size,1.0,0.0,0.0022,2025-01-01,3.8,weeks,27.54,0.0,0.94,0.002,0.0594,0.0,EUR,0.0594,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0022,0.002,27.54,0.0,cubic meters
B09266N893,X001WPKTQF,"TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle",MXP5,IT,22.8,8.4,8.3,centimeters,0.53,kilograms,0.0016,cubic meters,Standard-Size,1.0,0.0,0.0016,2025-01-01,3.8,weeks,27.54,0.0,1.0,0.0016,0.0433,0.0,EUR,0.0433,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0016,0.0,0.0016,0.0016,0.0016,27.54,0.0,cubic meters
B0D22R7L7D,X0020AR9P5,TUBOPLUS 29 PSI X3e (non include la pompa dell'aria),MXP5,IT,25.2,8.8,8.7,centimeters,0.25,kilograms,0.0019,cubic meters,Standard-Size,1.0,0.0,0.0019,2025-01-01,3.8,weeks,27.54,0.0,0.55,0.0011,0.0525,0.0,EUR,0.0525,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0019,0.0,0.0019,0.0019,0.0011,27.54,0.0,cubic meters
B0D87X42RN,X00231GYQL,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore oro,MXP5,IT,19.8,8.4,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,1.0,0.0,0.0014,2025-01-01,3.8,weeks,27.54,0.0,0.1,0.0001,0.038,0.0,EUR,0.038,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0014,0.0001,27.54,0.0,cubic meters
