fecha,ventas_de_productos_encargados,ventas_de_productos_encargados_b2b,unidades_encargadas,unidades_encargadas_b2b,total_de_articulos_de_un_pedido,total_de_articulos_de_un_pedido_b2b,promedio_de_ventas_por_articulo,promedio_de_ventas_por_pedido_b2b,promedio_de_unidades_por_pedido,promedio_de_unidades_por_pedido_b2b,precio_de_venta_medio,precio_de_venta_medio_b2b,visitas_de_pagina_aplicacion_de_dispositivo_movil,visitas_aplicaciones_de_dispositivos_moviles_b2b,visitas_navegador,visitas_navegador_b2b,visitas_total,visitas_total_b2b,sesiones_aplicaciones_de_dispositivos_moviles,sesiones_aplicaciones_de_dispositivos_moviles_b2b,sesiones_navegador,sesiones_navegador_b2b,sesiones_total,sesiones_total_b2b,porcentaje_de_ofertas_destacadas_buy_box,porcentaje_de_ofertas_destacadas_b2b,porcentaje_de_productos_pedidos_por_sesion,porcentaje_de_articulos_de_un_pedido_encargados_por_sesion_b2b,porcentaje_de_unidades_por_sesion,porcentaje_de_sesiones_de_unidades_b2b,promedio_de_ofertas,promedio_de_productos_parent,unidades_reembolsadas,ratio_de_reembolsos,valoraciones_recibidas,valoraciones_negativas_recibidas,ratio_de_valoraciones_negativas_recibidas,reclamaciones_bajo_la_garantia_de_la_a_a_la_z_concedidas,importe_de_las_reclamaciones,ventas_de_productos_enviados,unidades_enviadas,pedidos_enviados
2025-02-13,513.94,40.0,18,2,17,1,30.23,40.0,106,20,28.55,20.0,256,3,126,2,382,5,186,3,98,2,284,5,0.9377,1.0,0.0599,0.2,0.0634,0.4,12,10,0,0.0,0,0,0.0,0,0.0,225.6,11,11
2025-02-14,289.97,0.0,10,0,10,0,29.0,0.0,10,0,29.0,0.0,243,3,99,5,342,8,166,3,74,4,240,7,0.8694,1.0,0.0417,0.0,0.0417,0.0,12,10,1,0.1,0,0,0.0,0,0.0,302.43,12,12
2025-02-15,252.44,0.0,9,0,8,0,31.56,0.0,112,0,28.05,0.0,268,0,111,2,379,2,192,0,86,2,278,2,0.8029999999999999,1.0,0.0288,0.0,0.032400000000000005,0.0,12,10,1,0.11109999999999999,0,0,0.0,0,0.0,195.03,8,7
2025-02-16,327.97,0.0,12,0,12,0,27.33,0.0,10,0,27.33,0.0,423,7,158,12,581,19,269,5,117,7,386,12,0.7914,0.5556,0.0311,0.0,0.0311,0.0,12,10,0,0.0,1,0,0.0,0,0.0,299.12,13,13
2025-02-17,335.97,0.0,13,0,12,0,28.0,0.0,108,0,25.84,0.0,312,8,154,8,466,16,211,4,113,8,324,12,0.8370000000000001,0.8,0.037000000000000005,0.0,0.0401,0.0,12,10,2,0.15380000000000002,0,0,0.0,0,0.0,213.21,11,10
2025-02-18,475.34,0.0,15,0,14,0,33.95,0.0,107,0,31.69,0.0,285,3,160,5,445,8,191,3,116,3,307,6,0.8886,1.0,0.045599999999999995,0.0,0.0489,0.0,12,10,0,0.0,0,0,0.0,0,0.0,540.42,23,22
2025-02-19,487.3,22.0,20,1,19,1,25.65,22.0,105,10,24.36,22.0,288,3,161,12,449,15,186,2,115,8,301,10,0.8406999999999999,0.7778,0.06309999999999999,0.1,0.0664,0.1,12,10,3,0.15,0,0,0.0,0,0.0,205.74,8,8
2025-02-20,358.94,0.0,11,0,11,0,32.63,0.0,10,0,32.63,0.0,236,14,98,5,334,19,172,9,72,4,244,13,0.9356,1.0,0.0451,0.0,0.0451,0.0,12,10,1,0.0909,0,0,0.0,0,0.0,457.76,22,22
2025-02-21,497.31,20.0,18,1,18,1,27.63,20.0,10,10,27.63,20.0,348,0,162,3,510,3,226,0,129,2,355,2,0.8756,1.0,0.0507,0.5,0.0507,0.5,11,9,0,0.0,0,0,0.0,0,0.0,295.82,12,12
2025-02-22,276.31,20.0,11,1,11,1,25.12,20.0,10,10,25.12,20.0,315,8,88,4,403,12,186,4,68,4,254,8,0.8922,0.8332999999999999,0.0433,0.125,0.0433,0.125,11,9,1,0.0909,0,0,0.0,0,0.0,196.61,9,9
2025-02-23,253.97,0.0,9,0,9,0,28.22,0.0,10,0,28.22,0.0,313,0,127,4,440,4,191,0,101,4,292,4,0.8466,0.5,0.0308,0.0,0.0308,0.0,11,9,0,0.0,0,0,0.0,0,0.0,173.55,9,9
2025-02-24,452.3,0.0,18,0,17,0,26.61,0.0,106,0,25.13,0.0,315,4,165,2,480,6,209,3,130,2,339,5,0.8862000000000001,0.5,0.0501,0.0,0.053099999999999994,0.0,11,9,0,0.0,0,0,0.0,0,0.0,470.98,18,18
2025-02-25,511.96,39.99,20,1,19,1,26.95,39.99,105,10,25.6,39.99,339,16,112,4,451,20,219,11,89,4,308,15,0.8848,0.8,0.0617,0.0667,0.0649,0.0667,12,9,1,0.05,0,0,0.0,0,0.0,327.27,17,17
2025-02-26,403.95,39.99,14,1,14,1,28.85,39.99,10,10,28.85,39.99,269,8,121,5,390,13,180,5,82,3,262,8,0.8464,0.6,0.053399999999999996,0.125,0.053399999999999996,0.125,12,9,0,0.0,0,0,0.0,0,0.0,368.56,17,17
2025-02-27,412.64,0.0,13,0,13,0,31.74,0.0,10,0,31.74,0.0,295,2,94,8,389,10,194,1,76,6,270,7,0.9215000000000001,1.0,0.0481,0.0,0.0481,0.0,12,9,1,0.07690000000000001,0,0,0.0,0,0.0,495.78,20,19
2025-02-28,252.32,0.0,10,0,10,0,25.23,0.0,10,0,25.23,0.0,216,2,115,4,331,6,145,2,80,4,225,6,0.9107,1.0,0.0444,0.0,0.0444,0.0,12,9,1,0.1,0,0,0.0,0,0.0,289.23,13,13
2025-03-01,341.96,22.0,12,1,12,1,28.5,22.0,10,10,28.5,22.0,332,2,91,2,423,4,212,1,65,1,277,2,0.93,1.0,0.0433,0.5,0.0433,0.5,12,9,0,0.0,0,0,0.0,0,0.0,168.57,7,7
2025-03-02,366.05,0.0,13,0,13,0,28.16,0.0,10,0,28.16,0.0,360,8,136,9,496,17,255,6,96,4,351,10,0.9028,0.7143,0.037000000000000005,0.0,0.037000000000000005,0.0,11,9,0,0.0,0,0,0.0,0,0.0,222.46,10,10
2025-03-03,558.06,0.0,21,0,20,0,27.9,0.0,105,0,26.57,0.0,339,6,139,6,478,12,228,2,111,6,339,8,0.899,1.0,0.059000000000000004,0.0,0.061900000000000004,0.0,11,9,0,0.0,0,0,0.0,0,0.0,629.66,26,26
2025-03-04,450.63,39.99,14,1,14,1,32.19,39.99,10,10,32.19,39.99,299,19,198,6,497,25,194,8,108,6,302,14,0.8,0.8332999999999999,0.0464,0.07139999999999999,0.0464,0.07139999999999999,10,8,0,0.0,1,0,0.0,0,0.0,381.69,16,15
2025-03-05,291.28,0.0,11,0,11,0,26.48,0.0,10,0,26.48,0.0,249,18,102,4,351,22,168,7,85,3,253,10,0.9484,1.0,0.0435,0.0,0.0435,0.0,10,8,1,0.0909,1,0,0.0,0,0.0,236.11,10,10
2025-03-06,409.14,0.0,15,0,15,0,27.28,0.0,10,0,27.28,0.0,354,5,124,3,478,8,198,3,86,2,284,5,0.9790000000000001,1.0,0.0528,0.0,0.0528,0.0,10,8,1,0.0667,0,0,0.0,0,0.0,309.04,14,14
2025-03-07,241.46,0.0,10,0,9,0,26.83,0.0,111,0,24.15,0.0,237,2,105,0,342,2,146,1,81,0,227,1,0.9931,0.0,0.039599999999999996,0.0,0.0441,0.0,10,8,1,0.1,0,0,0.0,0,0.0,230.75,11,11
2025-03-08,499.21,0.0,18,0,18,0,27.73,0.0,10,0,27.73,0.0,174,3,63,0,237,3,116,3,49,0,165,3,0.9848,1.0,0.1091,0.0,0.1091,0.0,10,8,0,0.0,0,0,0.0,0,0.0,305.32,13,12
2025-03-09,309.18,22.0,12,1,12,1,25.76,22.0,10,10,25.76,22.0,301,5,101,3,402,8,183,2,76,2,259,4,0.9601000000000001,0.8,0.0463,0.25,0.0463,0.25,9,8,1,0.0833,0,0,0.0,0,0.0,251.83,13,13
2025-03-10,468.02,0.0,19,0,19,0,24.63,0.0,10,0,24.63,0.0,208,0,83,5,291,5,132,0,69,3,201,3,0.9447,0.4,0.09449999999999999,0.0,0.09449999999999999,0.0,9,8,1,0.0526,0,0,0.0,0,0.0,400.3,19,19
2025-03-11,384.86,22.0,16,1,16,1,24.05,22.0,10,10,24.05,22.0,166,0,96,14,262,14,115,0,67,7,182,7,0.9328,0.5385,0.08789999999999999,0.1429,0.08789999999999999,0.1429,8,8,2,0.125,0,0,0.0,0,0.0,473.68,21,21
2025-03-12,317.41,0.0,13,0,13,0,24.42,0.0,10,0,24.42,0.0,180,0,111,23,291,23,102,0,70,8,172,8,0.9597,0.46149999999999997,0.0756,0.0,0.0756,0.0,8,8,2,0.15380000000000002,0,0,0.0,0,0.0,266.26,14,14
2025-03-13,373.6,0.0,15,0,15,0,24.91,0.0,10,0,24.91,0.0,241,1,114,20,355,21,142,1,71,8,213,9,0.9377,0.6875,0.0704,0.0,0.0704,0.0,10,7,2,0.1333,0,0,0.0,0,0.0,349.1,17,17
2025-03-14,699.45,39.99,26,1,23,1,30.41,39.99,113,10,26.9,39.99,240,6,98,6,338,12,139,3,73,6,212,9,0.9631000000000001,0.875,0.1085,0.11109999999999999,0.1226,0.11109999999999999,10,7,2,0.07690000000000001,0,0,0.0,0,0.0,266.72,12,11
